tag1,tag2,,body
Slaves,,,"I have always had a difficult time with issues revolving slavery.  As the article discussed, since slaves were property, their status meant that they were sexually available to the partner.  I find the idea of someone forcing them self on another morally repugnant!  Yet, in the Ancient world, it appears slaves had few to no rights at all.  I was also surprised that even in marriage, some Christians associate desire with sin.  This seems to lead to a conclusion that marriage partners would need to remain celibate except for issues to procreate."
Women,Slaves,,"I found a couple of surprises... I thought that Roman women (at least among the elite) had rights similar to their spouses. They could own and inherit property for instance. Semitic women, including the Jews, had few rights. I always thought that the introduction of Christianity to the Romans carried an element of putting women in their place, which was inherently inferiority. I've been questioning where this opinion comes from - I think it's a combination of high school Latin class and HBO's Rome! The other challenge was thinking about the difficult position for slaves. Of course their positions were already difficult, but now also a faith challenge!"
Slaves,Women,,"Sadly, none of what we read was new or a surprise to me.  I was fully aware of how women and slaves were treated and that at the behest of their ""master"" or ""husband"" would need to comply with all / any requests.  And this module is about Christianity.....but I do want to point out in history - they aren't the only ones with alpha/male-dominated households.  "
Sex,Slaves,,What surprised me most about ancient ideas of marriage was that the sexual aspect of marriage did not seem to be an important part of marriage. Sex was normally only for reproduction in order for the children to inherit the father's possessions. Sex did not seem to have any intimate meaning between husband and wife as it was even acceptable for husbands to have sex with their slaves since they were considered property. So much of this seems very wrong compared to our morals and virtues today. 
No topic,,,"I was aware of these issues and challenges from past readings of scripture, so I was not surprised.  I have understood that these were compelling issues for the early Christians, and needed to be clarified. "
Sex,Women,Slaves,"Wow!  I had no idea about this particular way that the ancient peoples thought about sex as penetrating vs being penetrated.  It seems more about power and class versus love.  I could understand the status as women and children as property as well as slaves and their children as property.  I think that this belief may take it to a new level of domination over ""lesser"" beings.  For me, this is very troubling.  But this belief may be an indication of how difficult life really was back then."
Women,Status,Slaves,"The fact that the ruling class were the ones making the rules came as no surprise. Those that were well educated, wealthy and having the power that wealth brings making the rules. These rules that were being applied in the early churches were derived from men's (males) interpretation of the  ""Law"". The early church did not have the teachings available to them  that we do. I can understand the upheaval that these new teachings brought. This man Jesus respected women he walked with them and talked to them. Women must have felt a certain amount of empowerment. Sadly it was only a matter of time before  men began to reign them in using Paul's teachings to again enslave them. I was struck by how little things have changed. We in the West believe we live in an enlightened society, but do we?  We still have sex slaves  (both sexes) child abuse, forced marriages, slavery. It is only recently that churches in the West have allowed the integration  of women into the hierarchy of the Church. Sadly this is not duplicated  in all denominations. How little we have learned."
Slaves,,,When did the idea of slaves choosing Christian beliefs become possible?  Since they were property of their masters when did such agency become available?
Sex,Slaves,Marriage,"It might appear that sex outside of marriage was not discouraged among the ancient Israelites. King Solomon (r 970 to 931 BCE) had 300 concubines. Slaves were sexually available to their owners (who had to be males, most were elite males) and children resulting from such relationships were the property of the slave owners.Those who argue that a biblically-approved marriage is between …one man and one woman should carefully read the Hebrew scriptures, especially the the books of I & II Chronicles and I & II Kings ó e.g.  King Solomon had 700 wives. A man can have as many wives as he wishes, so long as he takes care of each wife equally [Exodus 21: 10 If he takes another wife to himself, he shall not diminish the food, clothing, or marital rights of the first wife.]The positions stated in the Hebrew scriptures appear to have been changed by the Christian canon. Sex outside of marriage was forbidden. Marriage was between one man and one woman.The Apostle St. Paul made a number of comments opposing …immorality, which we assume refers to sex outside of marriage. Paul was opposed to marriage for his followers, as it might interfere with their service to Jesus Christ. However, he did not totally forbid marriage, but said it was better for the Christian man to devote his life to Jesus Christ, without his efforts being divided by a wife. In any case, Paul taught his followers that the Second Cd Coming of Jesus would occur in their lifetime, so there was no need for propagation."
Marriage,Slaves,,"I think what surprised me was that I feel that some of these conceptions are still among some people today. Probably not just among Christian people but in other culture with different religions as well such as dowry tradition, a marriage of convenience, women with sexuality seen as abnormal or sinful, etc. The culture (patriarchal) at the time as well as the scripture and the interpretations of it through people who lived in that culture seems to have a lot of influences on these conceptions, I suppose. I feel these conceptions are more based on male perspectives. I am looking forward to learn more of women/slave point of views."
Status,,,"It seems that sex always poses a dilemma for society.  That, coupled with the new understanding of virtue, posed a real problem for the early church.  They were still struggling to understand Jesus' teachings  **AND** trying to capture the moment and build a church (walking and chewing gum, if you will) that they were sorely confused.  And, then, there was the status element - it really didn't matter what the elite males did.  The problem was the others - the women and slaves.  I see God as having a wonderful sense of humor and this as an excellent example.  "
Status,,,"Striking me head on was this observation: ""It is also the case that most of our evidence comes from elites, so it is less well known what the lives of non-elite persons were like."" So, even though Jesus teaching (as recorded later) centered around humility and concern for those who are downtrodden, the rules that governed the church as it developed were those determined by the elites. It is very easy to lose sight of this truth. While I've tried to maintain a broad view of the historical context of religious teaching, I've mostly failed to keep this factor uppermost in my thinking."
Women,Slaves,,"Most of the information did not surprise me. Women and Slaves have always been known to have no rights when it came to their property and bodies. Even in the fact that their bodies where property. It is a terrible thing that we can look back on this and think that it is so infuriating and silly that another person could be treated this way, but such was the way of life back then. It did not help the fact that people would use such an influential piece of literature : the bible to justify why this happened to certain types of people."
Desire,,,"Associating desire with sin is something irrational. sex is a basic instinct like the need for food and water. God in his scriptures just organize sexual activities bit never said to abstain from it or it is sinful to have a sexual desire. also i found the salves were treated like property is something very ugly."
